"Application_ID","GEO_region","Age","Job_type","Marital_status","Home_status","Car_status","Household_children","Monthly_Income","Monthly_Spendings","Credit_purpose","Credit_amount","Number_of_installments","NotionalValue_t0","NotionalValue_lag1","NotionalValue_lag2","NotionalValue_lag3","NotionalValue_lag4","NotionalValue_lag5","NotionalValue_lag6","NotionalValue_lag7","NotionalValue_lag8","NotionalValue_lag9","NotionalValue_lag10","NotionalValue_lag11","NotionalValue_lag12","DPD_t0","DPD_lag1","DPD_lag2","DPD_lag3","DPD_lag4","DPD_lag5","DPD_lag6","DPD_lag7","DPD_lag8","DPD_lag9","DPD_lag10","DPD_lag11","DPD_lag12","NotionalOverdue_t0","NotionalOverdue_lag1","NotionalOverdue_lag2","NotionalOverdue_lag3","NotionalOverdue_lag4","NotionalOverdue_lag5","NotionalOverdue_lag6","NotionalOverdue_lag7","NotionalOverdue_lag8","NotionalOverdue_lag9","NotionalOverdue_lag10","NotionalOverdue_lag11","NotionalOverdue_lag12","DefFlag"
"CCC20000027",18,45,"Entrepreneur","Maried","Owner","Owner",0,3569,1200,"Other",7128,36,20820.59,21728.94,22393.68,22393.68,24077.98,24077.98,24573.32,24573.32,24573.32,25580.44,25580.44,25580.44,26600.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000029",158,57,"Retired","Maried","Owner","No",0,749,240,"Holidays",5112,24,21212.31,21212.31,21279.51,21288.92,21481.5,21924.01,22018.53,22258.72,22258.72,22960.28,23198.46,23198.46,23464.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000031",67,62,"Full-time","Divorced","Owner","Owner",0,1550,620,"White-goods",4704,24,24611.19,25347.94,25347.94,25347.94,25817.77,25817.77,26456.67,26456.67,27279.64,27279.64,27279.64,27279.64,27279.64,0,0,3,4,0,0,7,0,0,4,4,0,0,0,0,272.1867,283.0662,0,0,550.5096,0,0,139.707,177.9666,0,0,NA
"CCC20000036",5,37,"Full-time","Divorced","Owner","Owner",0,3184,580,"Makeover",10476,36,9662.796,9717.413,9717.413,9780.605,9780.605,9938.723,10043.31,10060.52,10060.52,10060.52,10060.52,10255.36,10255.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000038",39,44,"Full-time","Single","Owner","Owner",0,1952,100,"Makeover",2496,24,10086.46,10242.78,10394.24,10456.25,10940.19,10940.19,10940.19,11287.42,11310.63,11310.63,11916.15,12575.3,12899.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000039",138,59,"Retired","Divorced","Owner","Owner",0,670,480,"White-goods",2544,12,10405.29,10405.29,10489.44,10676.91,10724.21,10724.21,10724.21,10725.29,10920.93,10953.12,11204.88,11235.95,11671.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000042",113,44,"Full-time","Maried","Rental","No",1,2667,420,"White-goods",1104,12,889.3382,1196.188,1297.215,1297.215,1525.87,1525.87,1525.87,1915.509,1993.959,2193.338,2193.338,2511.351,2682.172,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.793937,0,0,0,0,0,0,0,0,NA
"CCC20000043",60,60,"Retired","Divorced","Owner","No",0,1754,680,"White-goods",4572,12,237597.1,238399.2,238537.2,238537.2,240204.1,240410.3,240410.3,241378.6,242652.3,242825.8,243261.1,243623.1,243623.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000045",168,58,"Retired","Maried","Owner","Owner",0,2050,800,"Holidays",3384,12,9872.315,9872.315,9872.315,10593.7,10593.7,11051.39,11051.39,11213.94,11380.49,11613.84,11613.84,11847.65,11847.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000048",98,48,"Entrepreneur","Maried","Owner","Owner",2,8830,3340,"Holidays",1476,12,1486.842,1906.986,1906.986,1906.986,2554.166,3143.763,3143.763,3667.876,3667.876,3934.539,4532.838,5015.339,5015.339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000052",1,53,"Full-time","Maried","Owner","Owner",0,2564,380,"Holidays",6012,36,5640.107,5640.107,6674.331,7321.339,9038.093,9038.093,9545.217,10025.4,10470.51,10470.51,12641.91,12706.85,12866.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000053",109,53,"Retired","Maried","Owner","Owner",1,1431,600,"White-goods",2304,12,1434.742,1434.742,1434.742,1630.343,1654.825,1759.801,1873.365,1873.365,2003.812,2016.66,2044.182,2267.165,2267.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000061",3,50,"Full-time","Maried","Owner","No",0,2798,540,"White-goods",2196,12,3406.453,3406.453,3406.453,3406.453,3406.453,3406.453,3406.453,3406.453,3406.453,3406.453,3406.453,3406.453,3491.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000064",6,63,"Contract","Divorced","Rental","No",0,2011,400,"Other",1236,12,89.97203,89.97203,89.97203,89.97203,89.97203,89.97203,89.97203,89.97203,89.97203,89.97203,89.97203,89.97203,89.97203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000068",49,48,"Full-time","Maried","Owner","Owner",0,2102,560,"Other",11040,24,126920,128020.8,128860.9,129139.8,129139.8,129139.8,131268.7,131268.7,131268.7,131268.7,134760.6,135660.2,135828.7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,757.7643,0,0,0,0,0,0,0,0,0,NA
"CCC20000069",62,44,"Entrepreneur","Maried","Owner","No",0,5207,1540,"Holidays",5148,12,5005.9,5140.993,5409.501,5467.811,5467.811,5467.811,5467.811,5467.811,5972.537,5972.537,5972.537,6232.137,6470.521,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15.4933,NA
"CCC20000083",133,46,"Contract","Maried","Owner","Owner",0,1616,20,"Other",10728,36,13187.95,13518.19,13606.55,13829.86,14036.69,14147.33,14308.45,14308.45,14345.72,14345.72,14345.72,14345.72,14527.51,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,38.53612,0,0,0,0,0,0,0,0,0,38.53612,NA
"CCC20000087",17,54,"Entrepreneur","Divorced","Rental","Owner",0,6983,2340,"Holidays",4716,36,191195.1,191195.1,192481.6,193769.6,199866.7,199866.7,199866.7,202429.1,202429.1,212910.9,212910.9,214328.3,215675.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,554.0411,0,0,0,0,0,0,0,NA
"CCC20000091",75,50,"Full-time","Maried","Owner","No",0,1615,300,"White-goods",11052,36,752.1767,829.4257,887.9984,931.3947,931.3947,1077.76,1094.973,1163.052,1201.148,1201.148,1201.148,1283.723,1353.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000095",21,58,"Retired","Maried","Owner","No",0,1081,300,"Holidays",2676,12,167478.6,168058.3,168117,168430.7,168430.7,169217,170517,171400.9,171486.9,171486.9,171486.9,171486.9,174905.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000096",12,57,"Retired","Divorced","Owner","Owner",0,431,180,"White-goods",3744,12,18007.2,18007.2,18007.2,18007.2,18007.2,18007.2,18007.2,18007.2,18110.42,18143.53,18320.21,18473.09,18473.09,29,19,47,19,0,0,44,16,0,0,0,0,0,356.6764,287.0263,227.6301,130.3467,0,0,319.5942,205.5012,0,0,0,0,0,NA
"CCC20000100",38,49,"Entrepreneur","Maried","Owner","No",0,9598,340,"White-goods",3864,24,26959.93,26959.93,26959.93,27719.92,28431.56,28847.49,29714.06,29848.17,29960.44,30036.52,31033.56,31033.56,33191.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000102",18,38,"Full-time","Maried","Owner","Owner",0,2606,640,"Makeover",1200,12,2017.191,2525.465,2525.465,2962.434,2962.434,2962.434,3476.647,3476.647,3622.572,3883.977,4126.112,4126.112,4585.325,0,6,0,0,0,0,0,0,0,0,0,0,0,0,522.6092,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000103",25,50,"Full-time","Maried","Rental","Owner",0,3841,400,"White-goods",4008,12,10118.3,10118.3,10118.3,10118.3,10118.3,10118.3,10268.99,10268.99,10354.01,10617.45,10617.45,10797.56,10799.03,30,6,0,0,0,0,0,0,0,0,0,0,0,596.0565,354.2894,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000110",97,42,"Full-time","Maried","Owner","Owner",1,1613,500,"Holidays",4152,12,9828.757,9857.39,9857.39,9857.39,9857.39,9866.411,10023.56,10043.93,10228.2,10228.2,10346.85,10408.63,10471.38,29,34,5,0,0,0,0,0,0,1,0,0,0,432.022,345.7476,231.566,0,0,0,0,0,0,27.58176,0,0,0,NA
"CCC20000111",1,56,"Retired","Maried","Owner","Owner",1,782,480,"Makeover",11268,36,936.681,936.681,936.681,936.681,936.681,936.681,1022.739,1073.137,1138.373,1138.373,1138.373,1196.639,1315.321,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.875246,0,0,NA
"CCC20000112",188,51,"Full-time","Maried","Owner","Owner",1,3035,1140,"Holidays",1200,12,7513.694,9005.45,9169.758,9697.904,10076.62,10216.24,10764.5,12332.01,12332.01,12332.01,12849.42,13940.05,15059.83,0,0,0,9,0,0,1,0,0,0,0,8,11,0,0,0,593.9448,0,0,30.61949,0,0,0,0,548.5209,474.6747,NA
"CCC20000116",104,52,"Full-time","Maried","Owner","Owner",2,3508,1440,"White-goods",2868,12,30071.54,30071.54,30071.54,31333.35,31620.12,31620.12,33277.22,33821.12,33869.16,33869.16,34783.87,36046.02,37652.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000117",11,75,"Retired","Widowed","Owner","Owner",2,1237,560,"White-goods",9192,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000126",95,50,"Contract","Maried","Owner","Owner",2,599,180,"Makeover",4728,12,6011.943,6657.444,7056.084,7381.589,7665.591,7665.591,7665.591,7931.704,8550.316,8550.316,8550.316,8704.609,8890.643,2,0,0,0,0,0,0,0,0,0,0,0,0,21.34494,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000131",3,50,"Contract","Maried","Rental","Owner",0,1243,220,"Other",2484,12,31901.2,31901.2,31901.2,31901.2,31901.2,31901.2,31901.2,31901.2,31901.2,31901.2,31901.2,31901.2,31901.2,29,230,199,172,141,110,79,48,17,0,0,0,0,37568.9,29565.6,29234.36,30616.74,1297.323,3643.883,0,0,0,0,0,0,0,NA
"CCC20000139",110,63,"Retired","Maried","Owner","Owner",0,419,160,"White-goods",4416,24,1086.189,1086.189,1444.833,1444.833,1751.7,1959.102,1959.102,2128.595,2385.574,2385.574,2385.574,2722.983,2906.368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000141",84,37,"Full-time","Maried","Owner","Owner",1,3077,140,"Other",3588,12,15251.54,15251.54,15251.54,15251.54,15251.54,15251.54,15251.54,15251.54,15251.54,15251.54,15320.13,15320.13,15528.21,24,0,0,0,0,0,0,0,0,26,0,0,0,228.8463,0,0,0,0,0,0,0,0,353.3623,0,0,0,NA
"CCC20000147",38,54,"Full-time","Single","Owner","Owner",0,1814,200,"Holidays",3144,12,7616.757,7616.757,8051.154,8457.117,10003.45,10837.79,10837.79,10862.85,10862.85,12002.74,12002.74,12074.91,12244.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000150",36,48,"Full-time","Maried","Owner","No",0,4865,620,"Makeover",6456,24,2756.28,3548.36,3762.031,4122.855,4122.855,4508.533,4508.533,4546.278,4546.278,4546.278,5759.73,6143.41,6715.506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000151",4,64,"Retired","Divorced","Owner","Owner",0,900,520,"Other",3528,12,102181,103739.8,104862.7,104862.7,104862.7,104862.7,107364.5,107537.2,107537.2,110538.4,110538.4,111388.2,111388.2,0,3,0,1,0,0,0,0,1,0,1,0,0,0,872.5129,0,916.4776,0,0,0,0,293.2906,0,293.2906,0,0,NA
"CCC20000160",83,66,"Contract","Divorced","Owner","Owner",1,2180,400,"White-goods",1704,12,29637.36,29637.36,30098.01,34339.06,37857.31,37857.31,37857.31,38620.38,38620.38,41042.9,46318.87,49417.53,49417.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000168",36,40,"Contract","Maried","Owner","Owner",1,2184,680,"Holidays",4416,24,94189.1,95451.33,95451.33,95697.18,96680.1,96680.1,96680.1,97137.75,97951.58,97951.58,98367.03,98367.03,98367.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000170",179,59,"Full-time","Maried","Rental","No",0,2762,340,"White-goods",10296,36,47449.9,47449.9,47897.5,49473.59,49473.59,49771.9,50353.36,52527.84,52872.99,53168.77,53356.64,53429.79,53429.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000173",153,56,"Full-time","Maried","Owner","Owner",1,2331,0,"Holidays",4140,12,40111.33,40111.33,40111.33,40111.33,42098.69,43492.91,44013.69,44026.68,44822.77,44822.77,45331.79,45331.79,45331.79,27,0,31,0,0,56,29,0,90,59,28,0,0,309.8768,0,689.3956,0,0,854.0472,488.89,0,1626.052,954.3704,744.068,0,0,NA
"CCC20000174",122,62,"Full-time","Divorced","Owner","Owner",0,1782,520,"Makeover",3264,12,2134.832,2134.832,2741.952,3342.331,3342.331,3342.331,3342.331,3342.331,3486.786,3486.786,3809.461,3809.461,4146.518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000177",161,49,"Full-time","Maried","Rental","No",0,1852,160,"Holidays",6372,36,45286.88,45295.76,45895.56,45895.56,50392.7,52947.17,53608.21,55954.2,55997.31,57803.59,60879.54,63322.29,66163.36,7,6,5,0,0,10,8,9,1,0,4,1,7,1453.495,1078.608,1710.923,0,0,2167.636,1658.206,2253.844,1589.537,0,1467.95,1725.175,0,NA
"CCC20000181",153,43,"Contract","Maried","Owner","No",1,947,220,"Other",3888,36,16978.33,16978.33,16978.33,17425.38,17645.83,17752.43,17752.43,17963.27,18215.32,18215.32,18342,18497.05,18497.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000188",4,45,"Full-time","Maried","Owner","Owner",2,2288,500,"White-goods",4248,12,18195.78,18195.78,18357.93,18357.93,18758.17,18778.28,18778.28,18778.28,19242.24,19242.24,19479.57,19651.05,19857.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,51.77516,0,0,NA
"CCC20000189",137,46,"Full-time","Maried","Owner","Owner",2,3050,380,"White-goods",1416,12,51208.14,51208.14,51208.14,51208.14,51208.14,52800.33,52800.33,53087.52,53087.52,53087.52,54175.78,54217.26,56480.37,0,3,0,0,0,1,0,0,0,0,0,0,0,0,336.6655,0,0,0,377.8627,0,0,0,0,0,0,0,NA
"CCC20000195",80,69,"Retired","Widowed","Owner","Owner",0,717,380,"Makeover",2208,24,147558.5,147558.5,148024.5,151305.9,151335.1,151335.1,151335.1,151335.1,151335.1,151584.1,154941.6,154975.9,156239.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000204",13,75,"Retired","Widowed","Owner","Owner",0,886,360,"Holidays",1848,12,65049.74,65685.59,65685.59,66100.54,66100.54,68526.06,68526.06,68526.06,68526.06,68526.06,71018.39,75534.74,76820.37,30,0,2,0,0,0,0,0,0,2,0,0,2,1148.193,0,400.3963,0,0,0,0,0,0,1181.771,0,0,667.3793,NA
"CCC20000206",29,51,"Retired","Maried","Owner","Owner",1,967,420,"Holidays",9744,24,4255.593,4321.009,4321.009,4538.641,4656.868,4729.729,4729.729,4925.278,4925.278,5186.352,5213.868,5213.868,5213.868,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13.11509,0,0,0,0,NA
"CCC20000209",11,75,"Retired","Widowed","Owner","Owner",0,1121,420,"Holidays",2076,12,7577.758,7577.758,8275.794,8716.161,8716.161,9032.074,9125.683,9374.388,9374.388,9374.388,9374.388,9922.214,10333.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000210",180,53,"Retired","Maried","Owner","Owner",1,680,260,"White-goods",12780,36,1084.596,1084.596,1084.596,1604.415,1666.011,1666.011,1666.011,1828.399,2415.334,2571.451,2571.451,2571.451,2571.451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000212",1,46,"Contract","Single","Owner","Owner",0,865,120,"Other",2304,24,18498.85,18590.92,20507.23,22144.07,22441.3,22441.3,23551.23,23800.56,24158.44,24953.11,25880.25,26125.32,26125.32,0,0,0,35,10,6,35,7,5,6,9,0,0,0,0,0,852.6603,445.1025,560.2414,898.4219,631.4941,891.2924,463.9736,1017.329,0,0,NA
"CCC20000214",11,74,"Retired","Divorced","Owner","Owner",0,2089,780,"Makeover",3936,12,15047.7,15085.72,15102.7,15102.7,15113.48,15191.51,15191.51,15223.78,15223.78,15281.3,15281.3,15311.17,15430.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000216",20,50,"Entrepreneur","Maried","Rental","Owner",0,5981,1740,"Other",1104,12,1922.214,2806.418,2926.664,2926.664,3547.273,3990.481,4155.433,4155.433,4155.433,4928.347,4928.347,5403.16,5403.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000218",4,69,"Retired","Widowed","Owner","Owner",0,944,540,"Holidays",1584,12,13193.03,13203.57,13203.57,13223.41,13223.41,14519.99,14519.99,14624.21,14954.39,14954.39,15184.29,16131.93,17098.33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39.62792,0,0,0,0,0,NA
"CCC20000224",45,53,"Full-time","Maried","Rental","Owner",0,2363,760,"Holidays",4608,12,5172.767,5172.767,5746.794,5935.597,5935.597,6387.107,6579.338,6579.338,6579.338,6830.857,6935.326,6935.326,7025.397,15,0,15,0,0,0,0,0,0,0,0,0,0,469.0868,0,305.7159,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000231",1,48,"Full-time","Maried","Rental","No",2,2621,480,"White-goods",1992,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000232",106,48,"Entrepreneur","Maried","Owner","Owner",1,4145,1220,"Makeover",4476,12,8350.972,8350.972,9975.703,9975.703,9975.703,10852.76,10852.76,11397.48,11684.41,11755.09,11929.49,12751.37,12751.37,8,0,65,34,3,36,9,0,0,0,0,0,0,456.2721,0,1055.777,825.6888,391.5274,675.9441,217.5516,0,0,0,0,0,0,NA
"CCC20000239",45,62,"Retired","Maried","Owner","Owner",0,1328,680,"Holidays",9000,24,9640.145,10984.19,11035.79,12015.57,12557.36,12871.3,13697.38,13697.38,14275.36,14275.36,14275.36,14275.36,16372.2,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,35.82145,0,0,0,0,35.82145,0,NA
"CCC20000241",4,42,"Full-time","Maried","Owner","Owner",1,2182,1200,"Other",4644,36,29408.55,29408.55,29408.55,30217.55,31648.58,31648.58,32196.17,32545.87,33293.66,33772.93,33855.88,33855.88,35185.21,15,15,0,0,17,0,0,0,0,12,18,10,18,406.0716,592.7193,0,0,410.9058,0,0,0,0,345.7312,322.7017,343.2867,211.7179,NA
"CCC20000242",1,66,"Retired","Widowed","Owner","Owner",2,1542,800,"Makeover",4344,12,5867.325,5867.325,5867.325,5867.325,8365.308,8804.795,9954.266,9954.266,11570.26,12788.64,12788.64,14096.99,17867.14,29,2,8,8,7,7,5,5,10,6,0,0,7,1955.861,902.9283,1046.91,1401.722,895.733,1116.909,1020.503,1239.399,546.9246,723.3817,0,0,789.8147,NA
"CCC20000247",69,53,"Retired","Maried","Owner","Owner",1,1239,480,"Holidays",3936,24,12610.17,13305.69,13414.73,13414.73,13414.73,14161.69,14929.01,15458.43,15641.52,15910.48,16228.03,16244.12,16584.42,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40.31986,0,0,0,NA
"CCC20000248",65,60,"Retired","Maried","Owner","No",0,1355,560,"Other",3648,24,0,0,0,0,0,0,0,0,3076.712,3076.712,3076.712,3076.712,3076.712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000250",170,62,"Retired","Widowed","Owner","No",0,554,180,"Other",1212,12,2264.308,4405.866,4405.866,5510.069,5510.069,6746.311,10615.04,10615.04,10615.04,15271.48,15271.48,19547,24703.82,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,28.55245,28.55245,0,0,0,0,0,0,NA
"CCC20000253",20,45,"Contract","Maried","Owner","No",1,1262,520,"White-goods",11340,36,60131.76,60131.76,62179.17,62274.13,62274.13,62898.45,64426.94,64426.94,65327.42,65821.65,66264.7,66264.7,67174.6,10,12,8,12,0,0,0,0,15,0,7,0,0,830.8314,606.7306,567.0351,734.2911,0,0,0,0,764.5324,0,384.3931,0,0,NA
"CCC20000255",43,61,"Retired","Maried","Rental","Owner",0,344,80,"Holidays",5568,24,65214.3,65214.3,65214.3,65214.3,65214.3,65214.3,65214.3,65214.3,65214.3,65214.3,65214.3,65214.3,65808.04,28,22,0,0,0,0,0,0,0,0,0,0,0,575.3739,342.645,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000256",179,42,"Entrepreneur","Maried","Owner","No",2,7644,2700,"Holidays",1248,12,1960.246,1960.246,2604.251,3810.64,4448.176,4448.176,4675.255,5147.757,5147.757,7002.129,7002.129,9559.793,9559.793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
