"event","site","date","round","white","black","result","whiteelo","blackelo","eco","pgn","elo_difference","adjusted_white_elo","adjusted_black_elo","adjusted_elo_difference","winner","eco_cat"
"FIDE World Cup 2011","Khanty-Mansiysk RUS",2011-08-28,1.1,"Bezgodov, Alexei","Vitiugov, Nikita","1/2-1/2",2503,2733,"C03","1. e4 e6 2. d4 d5 3. Nd2 Be7 4. e5 c5 5. Qg4 Kf8 6. dxc5 Nc6 7. Qe2 Bxc5 8. Nb3 Bb6 9. Be3 Nge7 10. f4 Nf5 11. Bf2 h5 12. Nf3 Bd7 13. Qd2 Bxf2+ 14. Qxf2 Qb6 15. Bd3 Ne3 16. c3 Ng4 17. Qe2 Qe3 18. h3 Qxe2+ 19. Kxe2 Nh6 20. g4 Ng8 21. Nc5 Bc8 22. b4 Nge7 23. a3 g6 24. Nb3 b6 25. a4 a5 26. bxa5 Nxa5 27. Nxa5 Rxa5 28. Rhb1 Bd7 29. Rxb6 hxg4 30. hxg4 Rxa4 31. Rxa4 Bxa4 32. Rb8+ 1/2-1/2",-230,1.01293367686176,2.12338981474189,-1.11045613788012,"draw","A00 - A49"
"FIDE World Cup 2011","Khanty-Mansiysk RUS",2011-08-28,1.1,"Almasi, Zoltan","El Gindy, Essam","1-0",2726,2510,"B61","1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 Nc6 6. Bg5 Bd7 7. Qd2 Nxd4 8. Qxd4 Qa5 9. Bd2 e5 10. Qc4 Qb6 11. Be3 Qc6 12. Qb3 a6 13. Bc4 Be6 14. Bxe6 fxe6 15. Qxe6+ Be7 16. O-O-O Qd7 17. Qb3 Qc6 18. Bg5 O-O-O 19. Bxf6 Bxf6 20. Rd3 Kb8 21. Nd5 Rc8 22. f3 Bg5+ 23. Kb1 Qc4 24. Qxc4 Rxc4 25. h4 Bd8 26. Ne3 Rc6 27. Nf5 g6 28. Nxd6 Rf8 29. Nf7 Bf6 30. Nh6 Bg7 31. Ng4 h5 32. Ne3 Bh6 33. Nd5 Re6 34. c3 Rg8 35. g4 hxg4 36. fxg4 Rf8 37. g5 Bg7 38. Rdd1 Rh8 39. Rdf1 Bf8 40. Rf7 Bc5 41. Kc2 Ka7 42. Kd3 Bb6 43. Rf6 Rxf6 44. gxf6 Bd8 45. Rg1 Rxh4 46. f7 Rh3+ 47. Ke2 Rh2+ 48. Kf3 Rh8 49. Rxg6 Rf8 50. Rg7 1-0",216,2.0630330141695,1.01622763044442,1.04680538372507,"white","B20 - B99"
"FIDE World Cup 2011","Khanty-Mansiysk RUS",2011-08-28,1.1,"Cori, Jorge","Vallejo Pons, Francisco","0-1",2514,2724,"E04","1. d4 Nf6 2. c4 e6 3. g3 d5 4. Nf3 dxc4 5. Bg2 b5 6. a4 c6 7. axb5 cxb5 8. b3 cxb3 9. Qxb3 a6 10. Ne5 Ra7 11. O-O Bb7 12. Nc3 Bxg2 13. Kxg2 Qc8 14. Bf4 Qb7+ 15. f3 Be7 16. e4 O-O 17. Rfd1 Nbd7 18. d5 Nc5 19. Qa2 b4 20. Rab1 a5 21. Qf2 Qa6 22. Nc6 bxc3 23. Nxa7 Nd3 24. Qc2 Nxf4+ 25. gxf4 exd5 26. Nb5 dxe4 27. Qxc3 0-1",-210,1.01841842376491,2.04550462920598,-1.02708620544107,"black","E00 - E59"
"FIDE World Cup 2011","Khanty-Mansiysk RUS",2011-08-28,1.1,"Navara, David","Kabanov, Nikolai","1-0",2722,2520,"C41","1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nf3 Nbd7 5. Bc4 Be7 6. O-O O-O 7. a4 c6 8. Re1 b6 9. b3 Bb7 10. Bb2 a6 11. Bd3 g6 12. Ne2 exd4 13. Bxd4 c5 14. Bxf6 Bxf6 15. Rb1 Re8 16. Nf4 Bc3 17. Re3 Bg7 18. Bc4 Bh6 19. Qxd6 Nf6 20. Rd3 Bxe4 21. Qxd8 Raxd8 22. Rxd8 Rxd8 23. Nd3 a5 24. Nfe5 Bd5 25. Re1 Bd2 26. Re2 Bc3 27. g3 Kg7 28. Bxd5 Nxd5 29. Nc4 Rb8 30. Kg2 Kf8 31. Kf3 Bd4 32. Nf4 Nc3 33. Rd2 b5 34. axb5 Rxb5 35. Ne2 Nxe2 36. Kxe2 a4 37. bxa4 Rb4 38. c3 Rxc4 39. cxd4 Rxa4 40. dxc5 Rc4 41. Rd5 Ke7 42. Kd3 Rc1 43. Kd2 Rc4 44. Re5+ Kd7 45. h4 h5 46. Kd3 Rc1 47. Kd4 Rd1+ 48. Ke4 Rc1 49. Rd5+ Ke7 50. Kd4 Rc2 51. f4 f6 52. f5 g5 53. hxg5 fxg5 54. Rd6 Rd2+ 55. Ke5 Re2+ 56. Kd5 Rd2+ 57. Kc6 Rg2 58. Re6+ Kf7 59. Kd7 Rxg3 60. c6 Rd3+ 61. Rd6 Rc3 62. c7 1-0",202,2.02787340193095,1.02218121428266,1.00569218764829,"white","C20 - C99"
"FIDE World Cup 2011","Khanty-Mansiysk RUS",2011-08-28,1.1,"Rahman, Ziaur","Vachier-Lagrave, Maxime","1/2-1/2",2528,2722,"A15","1. Nf3 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. Qb3 Nb6 6. d4 Bg7 7. Bf4 Be6 8. Qa3 O-O 9. Rd1 N8d7 10. e3 Nd5 11. Bg3 c6 12. e4 Nxc3 13. bxc3 Nf6 14. Bd3 Bg4 15. Rb1 Bxf3 16. gxf3 b6 17. Qa4 Qd7 18. Bf4 Rfd8 19. Rd1 Qh3 20. Ke2 Bh6 21. Bg3 Nh5 22. Ba6 b5 23. Qa3 Rd7 24. Qc5 Qe6 25. d5 Rxd5 26. Rxd5 cxd5 27. Qxd5 Qxd5 28. exd5 Rd8 29. Rd1 Bg7 30. d6 Nxg3+ 31. fxg3 exd6 32. Rd3 Rb8 33. Rxd6 Bxc3 34. Rd7 Rb6 35. Rxa7 Bd4 36. Ra8+ Kg7 37. Kf1 h5 38. f4 Bc5 39. Kg2 b4 40. Bc4 Rd6 41. Re8 Rd4 42. Bb5 h4 43. Kh3 hxg3 44. hxg3 Kf6 45. Rc8 Bd6 46. Bc4 Rd2 1/2-1/2",-194,1.02820842505705,2.02787340193095,-0.999664976873899,"draw","A00 - A39"
"FIDE World Cup 2011","Khanty-Mansiysk RUS",2011-08-28,1.1,"Dominguez Perez, Leinier","Moradiabadi, Elshan","1-0",2719,2532,"A13","1. c4 e6 2. g3 d5 3. Bg2 dxc4 4. Nf3 a6 5. O-O Nf6 6. Qc2 b5 7. Ne5 Nd5 8. d3 cxd3 9. Nxd3 Bb7 10. Nc3 Bd6 11. Rd1 O-O 12. Nxd5 exd5 13. Bf4 Nd7 14. Bxd6 cxd6 15. Nf4 Rc8 16. Qd2 Nb6 17. Nxd5 Bxd5 18. Bxd5 Nxd5 19. Qxd5 Rc2 20. Rd2 Rxd2 21. Qxd2 Qf6 22. Rc1 d5 23. Rc3 Rd8 24. Rd3 h6 25. Rd4 Qg6 26. e4 Rc8 27. exd5 Qb1+ 28. Kg2 Qxa2 29. d6 Qe6 30. d7 Rd8 31. b4 Qe5 32. Qc3 Kh7 33. Qc5 Qe6 34. Qc7 Qe7 35. h4 g6 36. h5 gxh5 37. Qf4 Kg7 38. Rd6 f6 39. Qd4 Qe5 40. Qxe5 fxe5 41. Kf3 Kf7 42. Ke4 Ke7 43. Kxe5 Rf8 44. d8=Q+ Rxd8 45. Rxd8 Kxd8 46. f4 Ke7 47. f5 1-0",187,2.00126209934165,1.03171035176257,0.969551747579083,"white","A00 - A39"
"FIDE World Cup 2011","Khanty-Mansiysk RUS",2011-08-28,1.1,"Ivanov, Alexander","Wang, Hao","1-0",2538,2718,NA,"1-0",-180,1.03764786734057,1.9923543578895,-0.954706490548927,"white","A00 - A49"
"FIDE World Cup 2011","Khanty-Mansiysk RUS",2011-08-28,1.1,"Leko, Peter","Shankland, Samuel L","0-1",2717,2539,"D45","1. d4 d5 2. c4 c6 3. Nc3 Nf6 4. e3 e6 5. Nf3 Nbd7 6. Qc2 b6 7. Bd3 Bb7 8. O-O dxc4 9. Bxc4 c5 10. Rd1 Be7 11. Ne5 O-O 12. dxc5 Qc7 13. c6 Nxe5 14. cxb7 Qxb7 15. Be2 Rac8 16. Qa4 Rc5 17. Bd2 Qa8 18. Rac1 Rfc8 19. b4 R5c7 20. Ba6 Rd8 21. Be1 h5 22. Rxd8+ Qxd8 23. Rd1 Qa8 24. Be2 Rc8 25. a3 Nc4 26. Qa6 Nd6 27. h3 g6 28. Bf3 Qb8 29. Ne2 Nd7 30. Bc3 Rc7 31. Ba1 b5 32. Nd4 Qb6 33. Qxb6 Nxb6 34. Nc6 Bf8 35. Be5 Nbc4 36. Bh2 f6 37. Nd8 e5 38. Bd5+ Kh8 39. Ne6 Rc8 40. g4 hxg4 41. hxg4 g5 42. Kg2 Kh7 43. Bxc4 Nxc4 44. Rd7+ Kg6 45. Rxa7 Re8 46. Ra6 Bd6 47. Nc5 Bxc5 48. bxc5 Rc8 49. c6 Kf7 50. Bg1 Ke6 51. f3 Kd6 52. c7+ Ke7 53. f4 Rxc7 54. fxg5 fxg5 55. Bf2 e4 56. Rg6 Rc5 57. Ra6 Rd5 58. Kf1 Rd1+ 59. Kg2 Rd3 60. Rg6 Rxa3 61. Rxg5 b4 62. Rb5 b3 63. Rb7+ Ke6 64. g5 Kf5 65. Rb5+ Kg6 66. Be1 b2 0-1",178,1.9834307098223,1.03872288843788,0.94470782138442,"black","D00 - D69"
"FIDE World Cup 2011","Khanty-Mansiysk RUS",2011-08-28,1.1,"Esen, Baris","Moiseenko, Alexander","1/2-1/2",2543,2715,"D38","1. d4 Nf6 2. c4 e6 3. Nf3 d5 4. Nc3 Bb4 5. Bg5 Nbd7 6. cxd5 exd5 7. Qc2 c5 8. dxc5 h6 9. Bd2 Bxc5 10. e3 O-O 11. Bd3 a6 12. O-O b5 13. Rac1 Bb7 14. Ne2 Rc8 15. Qb1 Ne4 16. Bc3 Nxc3 17. Rxc3 Nf6 18. Rfc1 Ne4 19. R3c2 b4 20. Nfd4 Qd6 21. Nb3 Bb6 22. Rxc8 Rxc8 23. Rxc8+ Bxc8 24. Qc2 Bb7 25. Nbd4 g6 26. Ng3 Nc5 27. Bf1 h5 28. Nge2 Ne4 29. Nf3 Qf6 30. h4 Bc6 31. Ned4 Bd7 32. Bd3 Nc5 33. Be2 a5 34. Ng5 Bg4 35. g3 Qe5 36. Kg2 Kg7 37. Qd1 Bd7 38. b3 Ne4 39. Ndf3 Qf5 40. Bd3 Bc6 41. Qc2 Bb7 42. Bxe4 dxe4 43. Nd2 Qe5 44. Nc4 Qc3 45. Qd1 Qd3 46. Qa1+ Qc3 47. Qd1 Qd3 48. Qa1+ Qc3 1/2-1/2",-172,1.04328354501649,1.9655423169035,-0.92225877188701,"draw","D00 - D69"
"FIDE World Cup 2011","Khanty-Mansiysk RUS",2011-08-28,1.1,"Le, Quang Liem","Megaranto, Susanto","1-0",2715,2544,"E06","1. c4 e6 2. g3 Nf6 3. Bg2 d5 4. d4 Be7 5. Nf3 O-O 6. O-O dxc4 7. Qa4 Qd5 8. Nc3 Qc6 9. Qc2 Qa6 10. e4 Nc6 11. Qe2 Nb4 12. Rd1 Bd7 13. Ne5 Rad8 14. Be3 Nd3 15. Nxc4 Qxc4 16. Rxd3 e5 17. Rc1 Qa6 18. Rdd1 Qxe2 19. Nxe2 Bd6 20. h3 Rfe8 21. dxe5 Bxe5 22. f4 Bxb2 23. Rb1 Ba3 24. Rb3 Bf8 25. e5 Be6 26. Rxd8 Rxd8 27. Rxb7 Nd5 28. Bxa7 c5 29. Rb8 Rxb8 30. Bxb8 Ne3 31. a4 c4 32. Bd6 Bxd6 33. exd6 Nxg2 34. Kxg2 Kf8 35. Nd4 c3 36. Kf2 Bxh3 37. a5 Ke8 38. a6 Bc8 39. a7 Bb7 40. Ke3 Kd7 41. Kd3 f6 42. Nb5 g6 43. g4 h5 44. f5 h4 45. fxg6 h3 46. g7 h2 47. g8=Q h1=Q 48. Qf7+ Kc6 49. Nd4+ Kb6 50. Qxf6 Ba6+ 51. Kxc3 Qa1+ 52. Kd2 Qb2+ 53. Ke3 Qc1+ 54. Ke4 Qe1+ 55. Kf5 Bd3+ 56. Kg5 Qe3+ 57. Qf4 Qe8 58. d7 1-0",171,1.9655423169035,1.04449115880144,0.921051158102062,"white","E00 - E59"
"FIDE World Cup 2011","Khanty-Mansiysk RUS",2011-08-28,1.1,"Paragua, Mark","Adams, Michael","0-1",2545,2715,"E34","1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. Qc2 d5 5. cxd5 Qxd5 6. Nf3 Qf5 7. Qb3 Nc6 8. e3 O-O 9. Be2 e5 10. d5 Bxc3+ 11. bxc3 Na5 12. Qa4 b6 13. c4 e4 14. Nd4 Qg6 15. g3 Bg4 16. h3 Bxe2 17. Nxe2 Rfc8 18. Bd2 Nb7 19. Nf4 Qh6 20. Bc3 c6 21. O-O Nh5 22. Ne2 Nc5 23. Qd1 cxd5 24. cxd5 Nd3 25. Bd4 Nf6 26. Nf4 Nxf4 27. exf4 Rc4 28. d6 Rd8 29. Rc1 Rxc1 30. Qxc1 Ne8 31. Be5 Qe6 32. Re1 f6 33. Bb2 Nxd6 34. Ba3 Nc4 35. Bb4 a5 36. Bc3 Rd3 37. f5 Qxf5 0-1",-170,1.04572668858266,1.9655423169035,-0.919815628320841,"black","E00 - E59"
"FIDE World Cup 2011","Khanty-Mansiysk RUS",2011-08-28,1.1,"Shirov, Alexei","Leon Hoyos, Manuel","1-0",2714,2548,"B36","1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6 5. c4 Nf6 6. Nc3 d6 7. Be2 Bg7 8. Be3 O-O 9. O-O Nxd4 10. Bxd4 Bd7 11. f4 Bc6 12. Bf3 Nd7 13. Bxg7 Kxg7 14. Qd2 a5 15. Rad1 Qb6+ 16. Kh1 Rfd8 17. Nd5 Bxd5 18. exd5 Rac8 19. b3 a4 20. Qc3+ Kg8 21. Rde1 axb3 22. axb3 Re8 23. Bg4 Qc7 24. f5 f6 25. fxg6 hxg6 26. Qh3 f5 27. Bxf5 gxf5 28. Rxf5 Nf6 29. Rg5+ Kf7 30. Qe6+ Kf8 31. Rf1 1-0",166,1.95658089012626,1.0496055380832,0.906975352043058,"white","B20 - B99"
"FIDE World Cup 2011","Khanty-Mansiysk RUS",2011-08-28,1.1,"Guliyev, Namig","Jobava, Baadur","0-1",2549,2713,"B42","1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6 5. Bd3 Nf6 6. O-O e5 7. Nf3 Nc6 8. Bg5 h6 9. Bxf6 Qxf6 10. Nc3 Bc5 11. Nd5 Qd8 12. c3 d6 13. Qe2 O-O 14. Rad1 Bg4 15. Bc2 Ne7 16. b4 Ba7 17. Bb3 Ng6 18. h3 Be6 19. Kh2 Rc8 20. Qc2 Rc6 21. Ng1 Qg5 22. Rd3 Rfc8 23. Rg3 Qd8 24. Ne2 Kh8 25. Qd2 b5 26. f4 Nxf4 27. Nexf4 exf4 28. Nxf4 Bxb3 29. axb3 d5 30. exd5 Bb8 31. Qd4 Rf6 32. Rff3 Qb6 33. Qxb6 Rxb6 34. Kg1 Kh7 35. h4 Be5 36. Rh3 Rd6 37. Ne2 Rxd5 38. Rxf7 Bf6 39. Re3 Bxh4 40. Re6 Rd1+ 41. Kh2 Re1 42. Ra7 Rxc3 43. Rxh6+ Kxh6 44. Rxa6+ Kg5 45. Nxc3 Re3 46. Nxb5 Bg3+ 47. Kh3 Bf4+ 48. g3 Rxg3+ 49. Kh2 Kh4 50. Kh1 Kh3 51. Ra1 Rd3 52. Kg1 g5 53. Kf2 g4 54. Rh1+ Bh2 55. Ke2 Rd7 56. Nc3 g3 57. Rd1 g2 58. Rxd7 g1=Q 59. Rh7+ Kg2 60. Rg7+ Bg3 61. Rg4 Qf2+ 0-1",-164,1.05095751378562,1.94761019076471,-0.896652676979098,"black","B20 - B99"
"FIDE World Cup 2011","Khanty-Mansiysk RUS",2011-08-28,1.1,"Caruana, Fabiano","Pridorozhni, Aleksei","1-0",2711,2550,"C41","1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nf3 Nbd7 5. Bc4 Be7 6. O-O O-O 7. a4 c6 8. Re1 b6 9. Bg5 a6 10. d5 c5 11. Nd2 Ne8 12. Bxe7 Qxe7 13. Bf1 g6 14. Nc4 Rb8 15. Qd2 Ng7 16. Rab1 Bb7 17. b4 cxb4 18. Rxb4 f5 19. Nxb6 Nc5 20. a5 Rf6 21. Nba4 Nxa4 22. Nxa4 Rbf8 23. Reb1 Bc8 24. Nb6 Bb7 25. Nd7 Qxd7 26. Rxb7 Qd8 27. Ra7 fxe4 28. Rbb7 Nh5 29. Rxh7 Rf4 30. g3 Qg5 31. Bh3 1-0",161,1.92964761641046,1.05233981391179,0.877307802498663,"white","C20 - C99"
