,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
29,36,technician,single,secondary,no,265.0,yes,yes,unknown,5,may,,1,-1,0,unknown,no
30,57,technician,married,secondary,no,839.0,no,yes,unknown,5,may,225.0,1,-1,0,unknown,no
31,49,management,married,tertiary,no,378.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
32,60,admin.,married,secondary,no,39.0,yes,yes,unknown,5,may,,1,-1,0,unknown,no
33,59,blue-collar,married,secondary,no,,yes,no,unknown,5,may,226.0,1,-1,0,unknown,no
34,51,management,married,tertiary,no,10635.0,yes,no,unknown,5,may,336.0,1,-1,0,unknown,no
35,57,technician,divorced,secondary,no,63.0,yes,no,unknown,5,may,242.0,1,-1,0,unknown,no
36,25,blue-collar,married,secondary,no,,yes,no,unknown,5,may,365.0,1,-1,0,unknown,no
37,53,technician,married,secondary,no,-3.0,no,no,unknown,5,may,1666.0,1,-1,0,unknown,no
38,36,admin.,divorced,secondary,no,,yes,no,unknown,5,may,577.0,1,-1,0,unknown,no
39,37,admin.,single,secondary,no,0.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
40,44,services,divorced,secondary,no,,yes,no,unknown,5,may,160.0,1,-1,0,unknown,no
41,50,management,married,secondary,no,49.0,yes,no,unknown,5,may,,2,-1,0,unknown,no
42,60,blue-collar,married,unknown,no,104.0,yes,no,unknown,5,may,22.0,1,-1,0,unknown,no
43,54,retired,married,secondary,no,529.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
44,58,retired,married,unknown,no,96.0,yes,no,unknown,5,may,616.0,1,-1,0,unknown,no
45,36,admin.,single,primary,no,,yes,no,unknown,5,may,,1,-1,0,unknown,no
46,58,self-employed,married,tertiary,no,,yes,no,unknown,5,may,,1,-1,0,unknown,no
47,44,technician,married,secondary,no,0.0,yes,no,unknown,5,may,225.0,2,-1,0,unknown,no
48,55,technician,divorced,secondary,no,,no,no,unknown,5,may,160.0,1,-1,0,unknown,no
49,29,management,single,tertiary,no,0.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
50,54,blue-collar,married,secondary,no,1291.0,yes,no,unknown,5,may,266.0,1,-1,0,unknown,no
51,48,management,divorced,tertiary,no,-244.0,yes,no,unknown,5,may,253.0,1,-1,0,unknown,no
52,32,management,married,tertiary,no,,yes,no,unknown,5,may,179.0,1,-1,0,unknown,no
53,42,admin.,single,secondary,no,,yes,no,unknown,5,may,787.0,1,-1,0,unknown,no
54,24,technician,single,secondary,no,-103.0,yes,yes,unknown,5,may,145.0,1,-1,0,unknown,no
55,38,entrepreneur,single,tertiary,no,243.0,no,yes,unknown,5,may,174.0,1,-1,0,unknown,no
56,38,management,single,tertiary,no,,yes,no,unknown,5,may,104.0,1,-1,0,unknown,no
57,47,blue-collar,married,unknown,no,,yes,no,unknown,5,may,,1,-1,0,unknown,no
58,40,blue-collar,single,unknown,no,24.0,yes,no,unknown,5,may,185.0,1,-1,0,unknown,no
59,46,services,married,primary,no,179.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
60,32,admin.,married,tertiary,no,0.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
61,53,technician,divorced,secondary,no,989.0,yes,no,unknown,5,may,812.0,1,-1,0,unknown,no
62,57,blue-collar,married,primary,no,249.0,yes,no,unknown,5,may,164.0,1,-1,0,unknown,no
63,33,services,married,secondary,no,790.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
64,49,blue-collar,married,unknown,no,154.0,yes,no,unknown,5,may,357.0,1,-1,0,unknown,no
65,51,management,married,tertiary,no,6530.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
66,60,retired,married,tertiary,no,,no,no,unknown,5,may,528.0,1,-1,0,unknown,no
67,59,management,divorced,tertiary,no,59.0,yes,no,unknown,5,may,273.0,1,-1,0,unknown,no
68,55,technician,married,secondary,no,1205.0,yes,no,unknown,5,may,158.0,2,-1,0,unknown,no
69,35,blue-collar,single,secondary,no,12223.0,yes,yes,unknown,5,may,,1,-1,0,unknown,no
70,57,blue-collar,married,secondary,no,5935.0,yes,yes,unknown,5,may,258.0,1,-1,0,unknown,no
71,31,services,married,secondary,no,25.0,yes,yes,unknown,5,may,172.0,1,-1,0,unknown,no
72,54,management,married,secondary,no,,yes,yes,unknown,5,may,154.0,1,-1,0,unknown,no
73,55,blue-collar,married,primary,no,23.0,yes,no,unknown,5,may,291.0,1,-1,0,unknown,no
74,43,technician,married,secondary,no,,yes,no,unknown,5,may,181.0,1,-1,0,unknown,no
75,53,technician,married,secondary,no,384.0,yes,no,unknown,5,may,176.0,1,-1,0,unknown,no
76,44,blue-collar,married,secondary,no,,no,yes,unknown,5,may,211.0,1,-1,0,unknown,no
77,55,services,divorced,secondary,no,91.0,no,no,unknown,5,may,349.0,1,-1,0,unknown,no
78,49,services,divorced,secondary,no,0.0,yes,yes,unknown,5,may,,1,-1,0,unknown,no
79,55,services,divorced,secondary,yes,,yes,no,unknown,5,may,,1,-1,0,unknown,no
80,45,admin.,single,secondary,no,206.0,yes,no,unknown,5,may,193.0,1,-1,0,unknown,no
81,47,services,divorced,secondary,no,164.0,no,no,unknown,5,may,,1,-1,0,unknown,no
82,42,technician,single,secondary,no,690.0,yes,no,unknown,5,may,20.0,1,-1,0,unknown,no
83,59,admin.,married,secondary,no,2343.0,yes,no,unknown,5,may,,1,-1,0,unknown,yes
84,46,self-employed,married,tertiary,no,,yes,yes,unknown,5,may,246.0,1,-1,0,unknown,no
85,51,blue-collar,married,primary,no,173.0,yes,no,unknown,5,may,529.0,2,-1,0,unknown,no
86,56,admin.,married,secondary,no,45.0,no,no,unknown,5,may,1467.0,1,-1,0,unknown,yes
87,41,technician,married,secondary,no,1270.0,yes,no,unknown,5,may,,1,-1,0,unknown,yes
88,46,management,divorced,secondary,no,,yes,yes,unknown,5,may,188.0,2,-1,0,unknown,no
89,57,retired,married,secondary,no,486.0,yes,no,unknown,5,may,180.0,2,-1,0,unknown,no
90,42,management,single,secondary,no,,no,no,unknown,5,may,,1,-1,0,unknown,no
91,30,technician,married,secondary,no,152.0,yes,yes,unknown,5,may,213.0,2,-1,0,unknown,no
92,60,admin.,married,secondary,no,290.0,yes,no,unknown,5,may,583.0,1,-1,0,unknown,no
93,60,blue-collar,married,unknown,no,54.0,yes,no,unknown,5,may,221.0,1,-1,0,unknown,no
94,57,entrepreneur,divorced,secondary,no,,no,no,unknown,5,may,,1,-1,0,unknown,no
95,36,management,married,tertiary,no,101.0,yes,yes,unknown,5,may,,1,-1,0,unknown,no
96,55,blue-collar,married,secondary,no,,no,no,unknown,5,may,287.0,1,-1,0,unknown,no
97,60,retired,married,tertiary,no,81.0,yes,no,unknown,5,may,101.0,1,-1,0,unknown,no
98,39,technician,married,secondary,no,0.0,yes,no,unknown,5,may,203.0,1,-1,0,unknown,no
99,46,management,married,tertiary,no,229.0,yes,no,unknown,5,may,197.0,1,-1,0,unknown,no
100,44,blue-collar,married,secondary,no,-674.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
101,53,blue-collar,married,primary,no,90.0,no,no,unknown,5,may,,1,-1,0,unknown,no
102,52,blue-collar,married,primary,no,,yes,no,unknown,5,may,229.0,1,-1,0,unknown,no
103,59,blue-collar,married,primary,no,,yes,no,unknown,5,may,,3,-1,0,unknown,no
104,27,technician,single,tertiary,no,,yes,no,unknown,5,may,,1,-1,0,unknown,no
105,44,blue-collar,married,secondary,no,,yes,no,unknown,5,may,197.0,1,-1,0,unknown,no
106,47,technician,married,tertiary,no,,yes,no,unknown,5,may,190.0,1,-1,0,unknown,no
107,34,admin.,married,secondary,no,61.0,no,yes,unknown,5,may,21.0,1,-1,0,unknown,no
108,59,retired,single,secondary,no,30.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
109,45,management,married,tertiary,no,523.0,yes,no,unknown,5,may,849.0,2,-1,0,unknown,no
110,29,services,divorced,secondary,no,,yes,no,unknown,5,may,194.0,1,-1,0,unknown,no
111,46,technician,divorced,secondary,no,,no,no,unknown,5,may,144.0,1,-1,0,unknown,no
112,56,self-employed,married,primary,no,-34.0,yes,yes,unknown,5,may,,2,-1,0,unknown,no
113,36,blue-collar,married,primary,no,448.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
114,59,retired,divorced,primary,no,81.0,yes,no,unknown,5,may,107.0,1,-1,0,unknown,no
115,44,blue-collar,married,secondary,no,144.0,yes,no,unknown,5,may,,2,-1,0,unknown,no
116,41,admin.,married,secondary,no,351.0,yes,no,unknown,5,may,518.0,1,-1,0,unknown,no
117,33,management,single,tertiary,no,-67.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
118,59,management,divorced,tertiary,no,,no,no,unknown,5,may,,1,-1,0,unknown,no
119,57,technician,married,primary,no,0.0,no,no,unknown,5,may,,1,-1,0,unknown,no
120,56,technician,divorced,unknown,no,56.0,yes,no,unknown,5,may,439.0,1,-1,0,unknown,no
121,51,blue-collar,married,secondary,no,,yes,no,unknown,5,may,79.0,1,-1,0,unknown,no
122,34,admin.,married,unknown,no,3.0,yes,no,unknown,5,may,120.0,3,-1,0,unknown,no
123,43,services,married,secondary,no,41.0,yes,yes,unknown,5,may,127.0,2,-1,0,unknown,no
124,52,technician,married,tertiary,no,7.0,no,yes,unknown,5,may,,1,-1,0,unknown,no
125,33,technician,single,secondary,no,105.0,yes,no,unknown,5,may,,2,-1,0,unknown,no
126,29,admin.,single,secondary,no,818.0,yes,yes,unknown,5,may,61.0,1,-1,0,unknown,no
127,34,services,married,secondary,no,-16.0,yes,yes,unknown,5,may,,1,-1,0,unknown,no
128,31,blue-collar,married,secondary,no,0.0,yes,no,unknown,5,may,143.0,1,-1,0,unknown,no
129,55,services,married,secondary,no,,yes,no,unknown,5,may,,1,-1,0,unknown,yes
130,55,management,married,unknown,no,1185.0,no,no,unknown,5,may,677.0,1,-1,0,unknown,no
131,32,admin.,single,secondary,no,217.0,yes,no,unknown,5,may,345.0,1,-1,0,unknown,no
132,38,technician,single,secondary,no,1685.0,yes,no,unknown,5,may,185.0,1,-1,0,unknown,no
133,55,admin.,single,secondary,no,802.0,yes,yes,unknown,5,may,100.0,2,-1,0,unknown,no
134,28,unemployed,single,tertiary,no,0.0,yes,no,unknown,5,may,125.0,2,-1,0,unknown,no
135,23,blue-collar,married,secondary,no,,yes,no,unknown,5,may,193.0,1,-1,0,unknown,no
136,32,technician,single,secondary,no,0.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
137,43,services,single,unknown,no,,no,no,unknown,5,may,73.0,1,-1,0,unknown,no
138,32,blue-collar,married,secondary,no,517.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
139,46,blue-collar,married,secondary,no,265.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
140,53,housemaid,divorced,primary,no,947.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
141,34,self-employed,single,secondary,no,3.0,yes,no,unknown,5,may,301.0,1,-1,0,unknown,no
142,57,unemployed,married,tertiary,no,,no,no,unknown,5,may,,1,-1,0,unknown,no
143,37,blue-collar,married,secondary,no,37.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
144,59,blue-collar,married,secondary,no,,yes,no,unknown,5,may,98.0,1,-1,0,unknown,no
145,33,services,married,secondary,no,22.0,yes,no,unknown,5,may,71.0,1,-1,0,unknown,no
146,56,blue-collar,divorced,primary,no,8.0,yes,no,unknown,5,may,157.0,2,-1,0,unknown,no
147,48,unemployed,married,secondary,no,293.0,yes,no,unknown,5,may,243.0,1,-1,0,unknown,no
148,43,services,married,primary,no,3.0,yes,no,unknown,5,may,186.0,2,-1,0,unknown,no
149,54,blue-collar,married,primary,no,348.0,yes,no,unknown,5,may,579.0,2,-1,0,unknown,no
150,51,blue-collar,married,unknown,no,-19.0,yes,no,unknown,5,may,,2,-1,0,unknown,no
151,26,student,single,secondary,no,0.0,yes,no,unknown,5,may,,2,-1,0,unknown,no
152,40,management,married,tertiary,no,-4.0,yes,no,unknown,5,may,2033.0,1,-1,0,unknown,no
153,39,management,married,secondary,no,,yes,no,unknown,5,may,85.0,1,-1,0,unknown,no
154,50,technician,married,primary,no,139.0,no,no,unknown,5,may,114.0,2,-1,0,unknown,no
155,41,services,married,secondary,no,0.0,yes,no,unknown,5,may,,2,-1,0,unknown,no
156,51,blue-collar,married,unknown,no,1883.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
157,60,retired,divorced,secondary,no,216.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
158,52,blue-collar,married,secondary,no,782.0,yes,no,unknown,5,may,93.0,3,-1,0,unknown,no
159,48,blue-collar,married,secondary,no,904.0,yes,no,unknown,5,may,128.0,2,-1,0,unknown,no
160,48,services,married,unknown,no,1705.0,yes,no,unknown,5,may,107.0,1,-1,0,unknown,no
161,39,technician,single,tertiary,no,,yes,no,unknown,5,may,181.0,1,-1,0,unknown,no
162,47,services,single,secondary,no,,yes,no,unknown,5,may,,2,-1,0,unknown,no
163,40,blue-collar,married,secondary,no,,yes,no,unknown,5,may,558.0,5,-1,0,unknown,no
164,45,technician,married,secondary,no,86.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
165,26,admin.,single,secondary,no,,yes,no,unknown,5,may,228.0,1,-1,0,unknown,no
166,52,management,married,tertiary,no,,yes,no,unknown,5,may,,1,-1,0,unknown,no
167,54,technician,married,secondary,no,,yes,no,unknown,5,may,,1,-1,0,unknown,no
168,54,admin.,married,tertiary,no,184.0,no,no,unknown,5,may,673.0,2,-1,0,unknown,yes
169,50,blue-collar,married,primary,no,,no,no,unknown,5,may,,3,-1,0,unknown,no
170,35,blue-collar,married,secondary,no,0.0,yes,no,unknown,5,may,1056.0,1,-1,0,unknown,no
171,44,services,married,secondary,no,1357.0,yes,yes,unknown,5,may,,1,-1,0,unknown,no
172,53,entrepreneur,married,unknown,no,,yes,no,unknown,5,may,252.0,1,-1,0,unknown,no
173,35,retired,single,primary,no,434.0,no,no,unknown,5,may,138.0,1,-1,0,unknown,no
174,60,admin.,divorced,secondary,no,92.0,yes,no,unknown,5,may,130.0,1,-1,0,unknown,no
175,53,admin.,divorced,secondary,no,,yes,no,unknown,5,may,,1,-1,0,unknown,no
176,48,unemployed,married,secondary,no,,yes,no,unknown,5,may,,2,-1,0,unknown,no
177,34,technician,married,secondary,no,51.0,yes,no,unknown,5,may,,2,-1,0,unknown,no
178,54,services,married,secondary,no,214.0,yes,no,unknown,5,may,458.0,2,-1,0,unknown,no
179,51,management,married,secondary,no,1161.0,yes,no,unknown,5,may,717.0,1,-1,0,unknown,no
180,31,services,married,tertiary,no,,yes,no,unknown,5,may,,1,-1,0,unknown,no
181,35,technician,divorced,secondary,no,787.0,yes,no,unknown,5,may,683.0,2,-1,0,unknown,no
182,35,services,married,secondary,no,59.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
183,38,technician,married,secondary,no,,yes,no,unknown,5,may,,1,-1,0,unknown,no
184,36,admin.,married,tertiary,no,,yes,no,unknown,5,may,,2,-1,0,unknown,no
185,58,retired,married,primary,no,235.0,yes,no,unknown,5,may,167.0,1,-1,0,unknown,no
186,40,services,divorced,unknown,no,,yes,no,unknown,5,may,,1,-1,0,unknown,no
187,54,management,married,secondary,no,4080.0,no,no,unknown,5,may,,1,-1,0,unknown,no
188,34,blue-collar,single,secondary,no,53.0,yes,yes,unknown,5,may,,1,-1,0,unknown,no
189,31,management,single,tertiary,no,0.0,yes,no,unknown,5,may,562.0,1,-1,0,unknown,no
190,51,retired,married,secondary,no,2127.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
191,33,management,married,tertiary,no,,yes,no,unknown,5,may,,1,-1,0,unknown,no
192,55,management,married,tertiary,no,73.0,yes,no,unknown,5,may,142.0,2,-1,0,unknown,no
193,42,admin.,married,secondary,no,445.0,yes,no,unknown,5,may,67.0,1,-1,0,unknown,no
194,34,blue-collar,married,secondary,no,,yes,no,unknown,5,may,,1,-1,0,unknown,no
195,33,blue-collar,single,secondary,no,307.0,yes,no,unknown,5,may,309.0,2,-1,0,unknown,no
196,38,services,married,secondary,no,,yes,no,unknown,5,may,,1,-1,0,unknown,no
197,50,technician,divorced,tertiary,no,173.0,no,yes,unknown,5,may,,1,-1,0,unknown,no
198,43,management,married,tertiary,no,,yes,no,unknown,5,may,,1,-1,0,unknown,no
199,61,blue-collar,divorced,primary,no,,yes,no,unknown,5,may,,2,-1,0,unknown,no
200,47,admin.,married,secondary,no,219.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
201,48,self-employed,married,tertiary,no,7.0,yes,no,unknown,5,may,286.0,1,-1,0,unknown,no
202,44,blue-collar,married,secondary,no,,yes,no,unknown,5,may,477.0,1,-1,0,unknown,no
203,35,student,single,unknown,no,298.0,yes,no,unknown,5,may,,2,-1,0,unknown,no
204,35,services,married,secondary,no,0.0,yes,no,unknown,5,may,471.0,1,-1,0,unknown,no
205,50,services,married,secondary,no,5699.0,yes,no,unknown,5,may,381.0,2,-1,0,unknown,no
206,41,management,married,tertiary,no,176.0,yes,yes,unknown,5,may,42.0,1,-1,0,unknown,no
207,41,management,married,tertiary,no,517.0,yes,no,unknown,5,may,251.0,1,-1,0,unknown,no
208,39,services,single,unknown,no,257.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
209,42,retired,married,secondary,no,,yes,no,unknown,5,may,,1,-1,0,unknown,no
210,38,blue-collar,married,secondary,no,-390.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
211,53,retired,married,secondary,no,,yes,no,unknown,5,may,216.0,2,-1,0,unknown,no
212,59,housemaid,divorced,primary,no,,no,no,unknown,5,may,366.0,2,-1,0,unknown,no
213,36,services,married,secondary,no,,yes,no,unknown,5,may,,1,-1,0,unknown,no
214,54,blue-collar,married,primary,no,,yes,no,unknown,5,may,,1,-1,0,unknown,no
215,40,technician,married,tertiary,no,483.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
216,47,unknown,married,unknown,no,28.0,no,no,unknown,5,may,338.0,2,-1,0,unknown,no
217,53,unemployed,married,unknown,no,,no,no,unknown,5,may,,3,-1,0,unknown,no
218,46,housemaid,married,primary,no,965.0,no,no,unknown,5,may,177.0,1,-1,0,unknown,no
219,39,management,married,tertiary,no,,yes,yes,unknown,5,may,127.0,2,-1,0,unknown,no
220,40,unemployed,married,secondary,no,219.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
221,28,blue-collar,married,primary,no,324.0,yes,no,unknown,5,may,175.0,1,-1,0,unknown,no
222,35,entrepreneur,divorced,secondary,no,-69.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
223,55,retired,married,secondary,no,0.0,no,yes,unknown,5,may,,1,-1,0,unknown,no
224,43,technician,divorced,unknown,no,205.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
225,48,blue-collar,married,primary,no,278.0,yes,no,unknown,5,may,125.0,2,-1,0,unknown,no
226,58,management,married,unknown,no,,yes,no,unknown,5,may,213.0,3,-1,0,unknown,no
227,33,management,single,tertiary,no,,yes,no,unknown,5,may,27.0,1,-1,0,unknown,no
228,36,blue-collar,married,unknown,no,,no,no,unknown,5,may,238.0,2,-1,0,unknown,no
229,53,services,divorced,secondary,no,1467.0,yes,no,unknown,5,may,124.0,1,-1,0,unknown,no
230,47,blue-collar,married,primary,no,-12.0,yes,no,unknown,5,may,18.0,1,-1,0,unknown,no
231,31,services,married,secondary,no,388.0,yes,no,unknown,5,may,,2,-1,0,unknown,no
232,57,entrepreneur,married,secondary,no,,yes,no,unknown,5,may,,2,-1,0,unknown,no
233,53,blue-collar,married,unknown,no,,no,no,unknown,5,may,,1,-1,0,unknown,no
234,55,blue-collar,married,primary,no,627.0,yes,no,unknown,5,may,247.0,1,-1,0,unknown,no
235,45,blue-collar,married,primary,no,25.0,yes,no,unknown,5,may,40.0,1,-1,0,unknown,no
236,53,admin.,divorced,secondary,no,315.0,yes,no,unknown,5,may,181.0,2,-1,0,unknown,no
237,37,blue-collar,married,primary,no,,yes,no,unknown,5,may,,1,-1,0,unknown,no
238,44,admin.,divorced,secondary,no,,yes,no,unknown,5,may,,1,-1,0,unknown,no
239,49,blue-collar,divorced,primary,no,,yes,yes,unknown,5,may,,1,-1,0,unknown,no
240,46,technician,married,secondary,no,349.0,yes,yes,unknown,5,may,127.0,1,-1,0,unknown,no
241,43,entrepreneur,married,unknown,no,100.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
242,38,admin.,married,secondary,no,0.0,no,no,unknown,5,may,151.0,1,-1,0,unknown,no
243,43,technician,married,secondary,no,,yes,no,unknown,5,may,,1,-1,0,unknown,no
244,49,management,married,tertiary,no,,yes,no,unknown,5,may,,3,-1,0,unknown,no
245,42,management,married,unknown,no,275.0,no,no,unknown,5,may,408.0,2,-1,0,unknown,no
246,22,blue-collar,single,secondary,no,0.0,yes,no,unknown,5,may,,2,-1,0,unknown,no
247,40,management,married,tertiary,no,207.0,yes,no,unknown,5,may,39.0,1,-1,0,unknown,no
248,39,blue-collar,married,secondary,no,483.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
249,51,services,married,secondary,no,2248.0,yes,no,unknown,5,may,,2,-1,0,unknown,no
250,49,admin.,married,secondary,no,,yes,no,unknown,5,may,50.0,1,-1,0,unknown,no
251,53,blue-collar,married,secondary,no,,yes,yes,unknown,5,may,181.0,1,-1,0,unknown,no
252,34,services,single,secondary,no,0.0,yes,no,unknown,5,may,142.0,1,-1,0,unknown,no
253,33,technician,divorced,secondary,no,140.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
254,50,management,single,tertiary,no,297.0,yes,no,unknown,5,may,119.0,1,-1,0,unknown,no
255,39,blue-collar,married,primary,no,279.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
256,59,entrepreneur,divorced,secondary,no,,yes,no,unknown,5,may,,3,-1,0,unknown,no
257,30,technician,single,secondary,no,2573.0,yes,no,unknown,5,may,67.0,2,-1,0,unknown,no
258,36,services,married,secondary,no,143.0,yes,yes,unknown,5,may,350.0,1,-1,0,unknown,no
259,40,blue-collar,married,secondary,no,,yes,no,unknown,5,may,332.0,2,-1,0,unknown,no
260,53,blue-collar,married,secondary,no,70.0,yes,no,unknown,5,may,611.0,2,-1,0,unknown,no
261,34,management,single,tertiary,no,,yes,no,unknown,5,may,,2,-1,0,unknown,no
262,37,technician,married,secondary,no,,yes,no,unknown,5,may,132.0,1,-1,0,unknown,no
263,42,management,divorced,tertiary,no,742.0,yes,no,unknown,5,may,58.0,3,-1,0,unknown,no
264,41,entrepreneur,married,primary,no,,yes,no,unknown,5,may,,1,-1,0,unknown,no
265,30,student,single,tertiary,no,25.0,yes,no,unknown,5,may,89.0,2,-1,0,unknown,no
266,37,management,single,tertiary,no,600.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
267,39,admin.,divorced,secondary,no,-349.0,yes,no,unknown,5,may,611.0,2,-1,0,unknown,no
268,41,blue-collar,married,primary,no,183.0,yes,yes,unknown,5,may,110.0,2,-1,0,unknown,no
269,40,blue-collar,married,primary,no,0.0,yes,no,unknown,5,may,463.0,1,-1,0,unknown,no
270,42,management,single,tertiary,no,,yes,yes,unknown,5,may,562.0,2,-1,0,unknown,yes
271,40,blue-collar,divorced,primary,no,,yes,no,unknown,5,may,,1,-1,0,unknown,no
272,57,technician,married,secondary,no,1078.0,yes,no,unknown,5,may,10.0,4,-1,0,unknown,no
273,56,entrepreneur,divorced,secondary,no,155.0,no,no,unknown,5,may,,3,-1,0,unknown,no
274,37,admin.,married,secondary,no,,yes,no,unknown,5,may,92.0,2,-1,0,unknown,no
275,59,retired,married,secondary,no,319.0,yes,no,unknown,5,may,143.0,3,-1,0,unknown,no
276,39,services,divorced,secondary,no,-185.0,yes,no,unknown,5,may,189.0,3,-1,0,unknown,no
277,49,services,married,secondary,no,47.0,no,no,unknown,5,may,,2,-1,0,unknown,no
278,38,services,single,secondary,no,,yes,no,unknown,5,may,75.0,2,-1,0,unknown,no
279,36,self-employed,married,tertiary,no,19.0,no,no,unknown,5,may,189.0,2,-1,0,unknown,no
280,50,blue-collar,married,primary,no,,yes,no,unknown,5,may,,3,-1,0,unknown,no
281,41,admin.,married,secondary,no,,yes,yes,unknown,5,may,55.0,2,-1,0,unknown,no
282,54,technician,married,tertiary,no,,no,no,unknown,5,may,310.0,4,-1,0,unknown,no
283,58,blue-collar,married,primary,no,76.0,yes,no,unknown,5,may,,2,-1,0,unknown,no
284,30,blue-collar,single,secondary,no,,yes,no,unknown,5,may,,2,-1,0,unknown,no
285,33,admin.,single,secondary,no,,yes,no,unknown,5,may,225.0,2,-1,0,unknown,no
286,47,admin.,married,secondary,no,368.0,yes,no,unknown,5,may,,2,-1,0,unknown,no
287,50,technician,single,tertiary,no,339.0,yes,no,unknown,5,may,2.0,3,-1,0,unknown,no
288,32,blue-collar,married,secondary,no,1331.0,yes,no,unknown,5,may,286.0,2,-1,0,unknown,no
